iter	Passed	Remaining
897	25228	2865
898	25255	2837
899	25282	2809
900	25308	2780
901	25335	2752
902	25362	2724
903	25387	2696
904	25414	2667
905	25441	2639
906	25468	2611
907	25495	2583
908	25523	2555
909	25551	2527
910	25578	2498
911	25606	2470
912	25634	2442
913	25661	2414
914	25688	2386
915	25714	2358
916	25741	2329
917	25767	2301
918	25794	2273
919	25821	2245
920	25848	2217
921	25876	2189
922	25903	2160
923	25930	2132
924	25957	2104
925	25985	2076
926	26012	2048
927	26038	2020
928	26066	1992
929	26093	1964
930	26121	1935
931	26147	1907
932	26175	1879
933	26202	1851
934	26229	1823
935	26255	1795
936	26282	1767
937	26309	1739
938	26337	1710
939	26364	1682
940	26390	1654
941	26416	1626
942	26443	1598
943	26470	1570
944	26497	1542
945	26524	1514
946	26551	1485
947	26579	1457
948	26607	1429
949	26634	1401
950	26661	1373
951	26687	1345
952	26715	1317
953	26740	1289
954	26767	1261
955	26794	1233
956	26821	1205
957	26848	1177
958	26876	1149
959	26903	1120
960	26929	1092
961	26957	1064
962	26986	1036
963	27013	1008
964	27040	980
965	27067	952
966	27093	924
967	27121	896
968	27148	868
969	27175	840
970	27201	812
971	27228	784
972	27254	756
973	27280	728
974	27307	700
975	27334	672
976	27361	644
977	27388	616
978	27415	588
979	27442	560
980	27468	532
981	27495	503
982	27522	475
983	27549	447
984	27576	419
985	27604	391
986	27631	363
987	27657	335
988	27684	307
989	27710	279
990	27737	251
991	27764	223
992	27789	195
993	27816	167
994	27843	139
995	27870	111
996	27896	83
997	27923	55
998	27951	27
999	27978	0
